岗位描述,技术栈
岗位职责1. 参与项目可行性需求讨论与分析，参与项目方案的讨论与设计；2. 按设计文档实现相关业务功能的开发；3. 负责项目功能的单元测试和自测；4. 参与项目操作手册、测试用例、实施报告等文档的编写；5. 参与项目的实施，项目上线后的协助系统维护工作。职位要求：1. 本科及以上学历，至少两年以上软件开发实际工作经验，必须具有独立的开发能力；2. 熟练掌握C#，JavaScript，Jquery，HTML，CSS等开发语言和技术，有layer ui开发经验优先；3. 熟练掌握Server SQL，MySQL等主流数据库开发技术，可以编写复杂sql语句、视图、存储过程与函数；4. 精通使用Visual Studio，svn等开发工具，有良好的代码风格和逻辑能力；5. 较强的学习能力及团队合作精神，对工作有热情，能够在一定压力下工作；6. 有房地产相关行业软件开发经验优先。,"技术栈: 

1. C#
2. JavaScript
3. Jquery
4. HTML
5. CSS
6. Server SQL
7. MySQL
8. Visual Studio
9. svn"
岗位职责：1、负责公司现有项目的维护、调试、升级；2、负责公司产品的需求分析、系统设计、接口设计；3、负责新需求设计文档、技术实现逻辑等文档；4、负责新需求的数据库设计，程序逻辑设计以及技术开发；岗位要求:1、计算机、软件工程相关专业，本科及以上学历；接受应届生；2、熟悉.Net与.NetCore，编码能力强，基本功扎实；3、熟悉C#、熟悉开发平台，熟悉WinForm或WPF，对VB.NET有一定了解；4、熟悉常用设计模式，熟练使用EF、WebAPI、MVC等技术5、熟悉数据库开发技术，如：Sql Server数据库；6、具备良好的工作心态，责任心强，团队精神，有抗压能力，有独立工作能力，编码规范，注释清晰，注重细节。7 、可接受应届毕业生，急招,"技术栈：

1. .Net
2. .NetCore
3. C#
4. WinForm
5. WPF
6. VB.NET
7. EF
8. WebAPI
9. MVC
10. Sql Server"
工作内容 1. 参与软件系统分析及设计工作；2. 按照产品开发任务和产品计划，完成模块的设计、编码和测试；3. 可以独立的开展并高质量完成开发任务；4. 参与代码审核工作，发现和解决存在的技术问题；5. 团队协作进行开发，并配合其他软件工程师进行开发和解决问题。 职位要求 1. 全日制本科及以上学历，5年以上工作经验，计算机、软件工程或其他相关专业学科2. 有实际搭建微服务项目、搭建API网关和服务发现方面的实践经验3. 熟悉AWS云平台相关服务技术，有相关经验者优先4. 熟练使用关系型和NoSQL数据库5. 熟练使用Docker容器化部署项目，和基于K8S架构部署云平台应用6. 熟练使用CQRS/DDD模式搭建项目架构7. 熟练使用消息队列用于异步事件的订阅与发布8. 具有执行力、责任感、团队合作意识强，善于沟通，能承受较大的工作压力，并且乐于分享环境福利1. 公司位于福田区岗厦，楼下为1号线、10号线，周边交通发达通勤便利。2. 入职即购买全额一档社保，每年一次体检。3. 9:00-18:00 周末双休，加班少。(前后半小时弹性时间),"技术栈：

1. 微服务
2. API网关
3. 服务发现
4. AWS云平台
5. 关系型数据库
6. NoSQL数据库
7. Docker容器化
8. K8S架构
9. CQRS/DDD模式
10. 消息队列"
1、本科及以上学历，计算机相关专业；2、5年以上C#开发经验，担任过中等以上软件研发项目的主要开发成员，能独立完成产品开发任务；3、熟练掌握C#.Net平台技术，熟练使用ASP.NET MVC 5，Web API，WebSocket，Ado.Net，EF，ASP .Net Core和前端WPF，HTML5，JQuery，CSS3/Angles.js，Json，XML等开发技术;4、精通并发，异步，多线程编程模型；5、精通多种设计模式及技术架构并能把设计模式合理地引入开发实践，理解服务器性能、负荷与各种程序代码的相互关系；6、熟悉SQL Server、Oracle等主流数据库管理系统，有一定数据库优化能力；7、熟悉软件开发流程，代码规范性好，善于优化代码;8、具有责任心，热衷于技术，编程，有较强的沟通、理解，学习能力，具有良好分析、设计能力及编程习惯。岗位职责：1、负责WMS/WCS等核心产品的技术架构设计和核心代码开发，系统测试，系统发布等；2、理解WMS/WCS产品需求，编写产品系统设计文档，并按产品进度开发完成设计，开发，测试和发布工作；3、解决开发中各种系统架构及性能问题，根据开发规范和流程要求完成相应文档资料；4、对现有系统的不足进行分析，找到目前系统的瓶颈，改进系统算法，提高系统性能，维护高并发下的服务稳；5、依据WMS/WCS产品应用发展对技术平台不断优化调整、对应用性能调优。邮箱：******************** 联系电话：0755-2336 2266 人事行政部 (李小姐） 招聘QQ：3117920743,"技术栈：

1. C#
2. .Net
3. ASP.NET MVC 5
4. Web API
5. WebSocket
6. Ado.Net
7. EF
8. ASP .Net Core
9. WPF
10. HTML5
11. JQuery
12. CSS3
13. Angles.js
14. Json
15. XML
16. SQL Server
17. Oracle"
"职位信息1、使用.NET Core相关工具，完成公司产品的软件开发及编码实现；2、配合测试人员完成系统测试工作，协助实施人员完成系统实施工作；3、编写系统设计开发过程中的相关文档；岗位要求：1、计算机及相关专业，本科及以上学历，2年以上.Net Core经验；2、精通.NET Core开发技术，熟悉WebAPI，MVC架构；3、熟悉前端开发及框架；4、熟悉SQL, 熟练使用Mysql等数据库；5、熟悉Linux环境下.net core运行的相关配置;6、具有良好的编码习惯，较强的分析问题及独立承担任务的能力；工作地点：深圳南山区塘朗城广场塘朗城西区A座1001","技术栈: 

1. .NET Core
2. WebAPI
3. MVC
4. 前端开发框架（未指定具体框架）
5. SQL
6. Mysql
7. Linux"
要求：1. 2年以上金蝶K3Cloud BOS、插件开发经验；2. 有开发售前经验；3. 能独立完成项目开发需求设计、实现。（独立完成开发项目）；4. 能熟练使用金蝶api接口；5.掌握数据库设计和优化，掌握常用的数据库如PgSQL、MySql、Oracle等；6.有较好的分析问题和解决问题的能力，有较好的抗压能力；7.有创新意识，喜欢钻研新技术，有激情；8.具备企业管理领域财务、供应链、餐饮等系统开发经验者优先。职责：1.分析及确认开发需求，并能给出相对的开发建议。2.负责金蝶报表，接口，产品功能开发以及熟悉数据库管理及优化，参与ERP项目规划。3.负责金蝶云星空系列软件的服务与实施（主要是财务功能、供应链功能等）,"技术栈：

1. 金蝶K3Cloud BOS
2. 金蝶api接口
3. PgSQL
4. MySql
5. Oracle"
"岗位职责：1、授课:按照课表安排,准时进班授课,负责班级日常教学活动和管理,对学生满意度和授课质量负责;2、教学设备与教具管理:负责相关教室教学设备与相关教具的日常管理与维护；3、销售支持:负责体验课的讲授,协助招生支持工作;4、续费支持:保证教学质量的前提下,与学管师配合进行学生的续费工作,完成续费招生任务;5、教学回访：每月与家长进行相关回访，反馈学员情况。岗位要求：1、计算机类相关专业,本科及以上学历;2、了解乐高教育产品，有相关授课经验优先3、熟悉 scratch、Python语言，懂Java、Js、HTML等编程语言4、善于沟通表达,逻辑清晰,能与孩子及家长进行有效的交流互动;亲和力较好,喜欢孩子,有教育情怀5、具有编程教学经验更佳。6、对数据敏感，清楚教学产品数据","技术栈：

1. Scratch
2. Python
3. Java
4. Js
5. HTML"
"岗位内容:1. 负责Linux环境下平台服务架构设计，独立完成平台的功能模块设计及实现；2. 负责平台系统模块以及新特性开发，设计和优化平台性能，满足业务对用户量的承载。3. 负责平台服务器性能优化和体验优化，在既定的时间内完成工作目标。4、主导编写核心代码，提供关键技术预研和支持，整体考虑功能性及非功能性需求、开发复杂度、安全合规控制、性能等因素；岗位职责：1、计算机相关专业，5年及以上.Net开发经验，3年以上.Net Core开发经验；2、基本功扎实，对DDD、OO、IOC、AOP等有深刻认识，熟悉常用设计模式；3、精通 ABP vNext 框架、熟练EF Core、Redis、MongoDB、RabbitMQ、Kafka等组件开发；4、精通数据库设计/数据库性能调优，熟练运用ElasticSearch、MongoDb等；5、精通SQL server，PostgreSQL、MySQL等关系型数据库；6、掌握微服务架构设计思想，熟悉.Net Core微服务与容器技术应用；7、了解OAuth, OpenID等主流网络鉴权机制，对加密技术、网络通讯、数据算法有了解；8、有blogs、github 等可随简历提供。有中大型平台开发相关经验优先","技术栈:

1. .Net
2. .Net Core
3. ABP vNext
4. EF Core
5. Redis
6. MongoDB
7. RabbitMQ
8. Kafka
9. ElasticSearch
10. SQL Server
11. PostgreSQL
12. MySQL
13. OAuth
14. OpenID"
1．负责 BPM 电子签核系统的开发与维护并与 SAP 系统整合。 2．具备 BPM 系统分析访谈及数据库管理能力，可独立进行系统开发与维护。 3．与团队协同作业，进行BPM 项目进度控管。 4．主管交办事项。岗位要求：1．本科以上学历，电子信息、计算机专业，英语良好 2．熟悉ASP.NET、MVC、C#开发工具 3．熟悉JavaScript、JQuery、HTML、CSS开发技术 4．熟悉SQL Server、T-SQL语言 5．能团队合作，具沟通协调、独立解决问题、积极负责之能力,"技术栈: 

1. ASP.NET
2. MVC
3. C#
4. JavaScript
5. JQuery
6. HTML
7. CSS
8. SQL Server
9. T-SQL"
"注意：由于公司项目遍及全国，需要接受出差职位描述：1.医疗自助终端系统的研发及应用；2.参与单元测试、系统测试与用户验收；3.与ＥＲＰ、ＨＩＳ、LIS、PACS系统对接；4.与银行POS交易系统、社保结算系统对接；5.持续完善本公司开发工具。任职要求：1.本科以上学历，两年以上同类工作经验；2.熟练掌握ASP.NET ,熟悉ASP.NET MVC,有2年以上相关开发经验优先；3.熟悉.Net Framework框架,熟悉面向对象编程,了解设计模式 ;4.熟悉SQL Server,MySql,Mongodb一种,熟练使用SQL语言;5.熟悉HTML/XML、Javascript/AJAX、CSS等相关WEB技术;6.具备良好的编码习惯、有良好的沟通能力及团队协作意识;7.有一定的文档功底。入职即为员工购买五险。公司包住，有餐补，有节假日福利，生日福利等。","技术栈:

1. ASP.NET
2. ASP.NET MVC
3. .Net Framework
4. SQL Server
5. MySql
6. Mongodb
7. HTML
8. XML
9. Javascript
10. AJAX
11. CSS"
"1、C# 项目3年以上经验，目前仍从事code工作。2、有2个以上互联网项目经验,对大数据处理有经验,有企业管理软件开发经验优先。能独立担当产品架构层级开发。3、有创业意愿，愿与创业团队一起打拼未来。4、爱好编程，追求完美，愿意加班。","技术栈: 

1. C#
2. 大数据处理相关技术（未指定具体技术）
3. 企业管理软件开发相关技术（未指定具体技术）"
岗位职责：1.负责数字备考后端功能的设计和开发；2.参与菁优网及后台的设计与开发；3.领导交代的其他工作。岗位要求：1.统招本科及以上学历；2.2年及以上ASP.NET（MVC）、Web API、.NET Core开发经验；3.熟悉设计模式，架构模式，理解IOC框架原理；4.熟悉Web API、EF、LINQ等主流.NET技术；5.掌握SQL Server.MySQL等关系型数据库；6.熟练使用SVN、Git等团队开发工具；具有较好的沟通表达能力，具有良好的团队精神，善于学习，责任心强。,"技术栈：

1. ASP.NET
2. MVC
3. Web API
4. .NET Core
5. EF
6. LINQ
7. SQL Server
8. MySQL
9. SVN
10. Git"
"一、岗位职责:1.熟练应用HTML、XML、DIV+CSS、WebServer、Jquery、easyUi等工具，具有独立编写能力；2.理解.net架构体系，能独立完成webform程序开发；3.熟练掌握SQL Server，对数据库性能优化有深刻理解，会编写存储过程；4.熟悉TCP/IP协议，理解IIS工作原理、并利用IIS快速搭建网站；二、任职条件1.教育背景：专科以上学历，计算机、电子商务类专业,有跨境电商erp管理系统开发经验者优先；2.工作经验：熟悉.net平台上的开发技术，有电商平台解决方案和研发经验 工作者优先; 3.知识/技能：（1）对网站整体架构有较为清晰的认识，且对网站运营有一定了解;（2）擅长策划和制作网站的整体风格及栏目布局;（3）熟悉电子商务b2b/b2c模式，有丰富的在.net/php/asp程序开发环境下工作的经验;.（4）有责任心，思维敏捷，善于沟通，有良好的团队协作意识。【福泽成诚邀您的加入】选平台：深圳福泽成科技有限公司，公司总部位于深圳市宝安区美丽的凤凰山下杰鹏商业广场中心，这里环境优美，交通便利。周边商场电影院餐饮等服务设施齐全，休闲与工作的完美结合，公司致力于跨境电子商务，经过几年的不断努力，公司现在已经发展成为集营销、供应链管理、进出口贸易为一体的具有实力的规模企业。为全球提供物美价廉的产品，为中国的品牌商提供走向世界的舞台。公司现在拥有自己的团队，积累了丰富的跨境电子商务从业经验，涉及的领域有 B2C，B2B；经营的平台包括敦煌网、阿里巴巴、全球速卖通、ebay ，亚马逊 ，wish，美国新蛋网，lazada等，经营的范围包括电子烟、品牌手机、手机配件、健康与美容、母婴服饰、户外运动、服装、家居用品及周边等十几个平类，数万种商品。目前，公司正处于高速发展中，努力成为世界一流的跨境电子商务公司，所有人员均提供完善的业务培训，提供具有竞争力的工资和福利，帮助不同能力员工制定职业发展规划，提供转职和晋升发展机会，希望积极、向上、年轻、活力的你加盟我们共同的事业。谈薪酬：富有行业竞争力的全面薪酬，转正后底薪、绩效、全勤奖、年末红包、优秀员工奖、激励计划、只要你努力，升职加薪不是梦！论发展：入职培训、技能培训、户外拓展！为员工搭建Y字形双通道发展路径。说保障 ：（1）保险保障：五险；年终奖；工龄奖；优秀团队奖；总经理特别奖；（2）团队建设：每月部门活动经费，一至两个月举行一次部门活动；不定期举行文体活动；生日会；（3）生活保障：公司提供员工宿舍。设施齐全，条件舒适。（4）礼品礼金：结婚礼金；生子礼金；生日礼物；传统节日福利；春节红包；（5）有薪假期：法定节假日、年休假、婚假、产假、陪护假、公假。话人文：1）悠闲下午茶，抛开工作畅谈生活；2）国家传统的节日，为员工送上节日的祝福及礼品；3）不定期部门聚餐（K歌、轰趴、饭","技术栈：

1. HTML
2. XML
3. DIV+CSS
4. WebServer
5. Jquery
6. easyUi
7. .NET
8. SQL Server
9. TCP/IP
10. IIS
11. PHP
12. ASP"
岗 位：研发工程师任资资格：1.本科及以上学历，计算机软件等相关专业；2.具有2年及以上开发经验；3.熟悉Oralce/SqlServer数据库开发，具有良好的数据库编程能力；4. 有ERP/WMS等系统接口开发和二次开发经验优先；5. 具备良好的沟通和团队协作能力，有较强的自主学习开发能力。6，具有仓储物流系统工作经验优先录取 熟悉WMS系统,"技术栈: 

1. Oracle
2. SqlServer
3. ERP
4. WMS"
"1.精通金蝶BOS平台开发，能高效开发云星空不同类型的插件，2.大专及以上学历，计算机相关专业，3.有良好的的编程习惯；4.熟悉SQLServer,数据库，具备数据库性能調优；5.精通.NETFramework架构.","技术栈: 

1. 金蝶BOS平台
2. 云星空插件
3. SQLServer
4. .NETFramework"
".net开发工程师 职责描述:1、负责公司IOT, ERP系统的需求分析、软件架构设计，还有与硬件交互的上位机开发2、组建开发团队，管控项目质量与进度3、持续优化公司平台和系统的业务流程并以敏捷方式迭代实现4、最好管理团队以及组建团队. 岗位要求：1、全日制本科及以上学历，计算机及其相关专业；2、熟练使用C#、.NET、.NET Core、MVC等开发技术，熟练掌握EF、EF Core、NHibernate、SqlSugar 、Dapper 其中2种以上,熟练使用SVN/GIT等代码管理工具；4、熟悉JS、HTML、XML、CSS、Ajax等语言及技术；5、熟悉sqlserver、mysql等关系型数据库，熟练编写SQL语句和存储过程，对复杂查询、SQL优化等有深入了解；会使用 Redis，RabbitMQ等非关系型数据库；6、具备项目架构设计能力，熟悉微服务、设计模式、UML，熟悉DDD、OO、IOC、DI、AOP等；7、具有良好的代码书写规范，善于沟通，富有责任心和团队协作精神，有良好的开发文档书写习惯；8、有至少3年.Net相关B/S或C/S实际项目开发经验","技术栈：

1. C#
2. .NET
3. .NET Core
4. MVC
5. EF
6. EF Core
7. NHibernate
8. SqlSugar
9. Dapper
10. JS
11. HTML
12. XML
13. CSS
14. Ajax
15. sqlserver
16. mysql
17. Redis
18. RabbitMQ
19. UML

Note: DDD、OO、IOC、DI、AOP are design patterns and principles, not specific technologies, so I didn't include them in the list."
"JD：C#.NET开发工程师，B/S-C/S ，10-15K任职要求：1、精通C#编程语言，熟练掌握WinForm、ASP.NET MVC, .NET Core的使用，对多线程要有一定的经验，代码整齐规范；2、熟悉SqlServer，mysql数据库，熟悉数据库相关开发（视图、存储过程等），对数据库sqlserver mysql有一定优化经验，能够针对数据量大导致系统慢或死锁等问题给出合理的优化解决方案；3、熟悉soap，http，tcp/ip协议，可独立开发及调用WebService、WebApi、等接口；4、具有扎实的专业基础知识，能够快速解决软件开发/运行过程中的各类问题；5、有使用Elasticsearch引擎或使用Java做过开发可以加分；6、两年以上.Net实际项目开发经验；有进出口贸易报关系统开发经验经验更佳；公司福利待遇：1.入职即买五险一金；2.带薪年假；3.无限供应办公室零食饮料；4.甲A及写字楼，办公环境舒适。","技术栈：

1. C#
2. WinForm
3. ASP.NET MVC
4. .NET Core
5. SqlServer
6. mysql
7. Soap
8. HTTP
9. TCP/IP
10. WebService
11. WebApi
12. Elasticsearch (加分项)
13. Java (加分项)"
"岗位职责1. 负责公司内部系统的维护与开发工作2. 按时按质的完成编程开发技术工作任职要求1、全日制专科/本科学历应届生，计算机相关专业2、3年以上.NET开发经验，精通.net语言、MVC3、掌握JavaScript、jQuery、Html、CSS、Ajax、React等Web开发技术4、熟悉SQL Server数据库，熟练使用SQL语言，掌握存储过程5、有MVC.net 及多层结构的开发经验，具有良好的编程风格6、熟练掌握 bootstrap,layUi,EasyUI等前端框架","技术栈: 

1. .NET
2. C# (隐含在.NET语言中)
3. MVC
4. JavaScript
5. jQuery
6. Html
7. CSS
8. Ajax
9. React
10. SQL Server
11. Bootstrap
12. LayUi
13. EasyUI"
"公司介绍深圳市瑞凌实业股份有限公司（股票代码：300154）成立于2003年，是国内逆变焊接装备行业A股上市公司，公司集团现有员工1000余人，其中技术人员200人左右,公司目前拥有十多家控股子公司。岗位职责：1、参与公司应用系统项目实施，从事应用系统相关技术方面的开发和支持工作，完成系统技术方案评估及技术实现；2、协助应用顾问解决项目实施及日常工作中遇到的技术难点和问题，负责应用系统进行开发对接；3、负责部门新技术的研究与开发探索（Chatgpt/RPA等）；4、定期检查系统，提供技术支持和帮助，完成开发文档的管理与规范。任职资格：1、本科及以上学历，计算机和信息管理等相关专业优先；2、3-5年或以上.Net/C#开发设计经验，具备独立开发项目及系统经验，有python和rpa开发经验优先；3、有一定的架构能力，精通.NET Core开发技术，熟练使用EF等相关ORM框架，熟练使用SQLserver、Mysql、Mssql、Oracle等数据库，掌握Git/Svn代码协作管理工具；4、掌握Redis、Mongodb、ES、RabbityMQ等相关技术；5、掌握前端VUE+ElementUI开发技术框架，掌握负载均衡、微服务、AOP、SOA、DDD等分布式开发框架以及思想；6、具备较强的沟通合作能力，高度的责任感和学习能力，具备较强的逻辑分析能力。公司福利:1.公司实行五天八小时工作制，工作时间周一至周五8：30-17：30，周末双休；2. 按照国家法定节假日放假；3.公司统一购买五险一金；4. 公司提供住宿，提供伙食补贴。","技术栈：

1. .NET
2. C#
3. Python
4. RPA
5. .NET Core
6. EF
7. SQL Server
8. MySQL
9. MSSQL
10. Oracle
11. Git
12. SVN
13. Redis
14. MongoDB
15. ES
16. RabbitMQ
17. VUE
18. ElementUI"
RPA中级开发工程师1.计算机或者理工科专业2.熟悉C#开发过程和方法；对设计和编程有良好的理解；3.熟悉Python的开发4.1-3年UiPath或UiBot项目工作经验 熟练使用RPA企业框架，并针对不同的场景进行修改5.熟练控制台的各项配置、API接口的使用6 有良好的开发代码规范，善于使用异常处理，保证流程稳定运行加分项：独立设计RPA框架、JavaScript、VBA【工作内容】1、了解用户需求和功能规范；2、负责开发UiPath或Uibot 流程的开发；3、及时沟通解决方案和开发进度；【公司介绍】佳昊创想（深圳）科技有限公司主营为用户提供企业运营流程诊断分析、改造优化、自动化智能化解决方案设计、开发集成服务、技术培训，软硬件产品销售与服务于一体化的科技型、专业服务型高科技公司。以合伙人模式聚集一批国内早期（2018年）专注于RPA+AI技术转接、业务流程专家、软件架构师、资深开发工程师精英团队组成，在行业内苦心经营钻研多年，积累了丰富的经验与技术，聚集了众多的优质客户资源，先后服务于喜之郎、大众一汽、东方日产、洲明科技、百威集团、萨克米、百世可乐、高露洁、证券公司、广百集团、大型地产等众多大中型客户项目。经营宗旨：日渐精进，不断创新的提炼更好的解决方案，用最高效、专业、规范的方法经营管理公司，服务于客户，帮助用户成功，实现自我价值。企业文化：以奋斗者为本、专业务实；坚持（员工、用户、企业）双赢、相互成就！经营模式：公司为优秀人才提供了完善的晋升发展机制，根据企业职员业绩、司龄、专业能力、发展潜力等各项考核指标周期性选拔优秀杰出人才，给与核心员工、分红股东等机会，让每位员工都能够分享公司的收益，共同为企业发展拼搏。,"技术栈：

1. C#
2. Python
3. UiPath
4. UiBot
5. RPA"
"岗位要求：承担开发任务，按计划完成任务目标。任职要求：1、三年以上ASP、NET(C#)开发经验，具有ASP、NET大型B/S架构系统开发经验；2、精通SQL Server数据库及其应用开发，了解Oracle,Mysql；3、熟悉掌握HTML、JavaScript、jquery、Ajax、XML、DIV、CSS等相关技术；4、有良好的代码习惯，文档编写习惯，较强的学习和理解能力，团队意识强；5、责任心强，工作细致，注重工作效率，有良好的沟通、协调能力；6、有过MES、WMS系统开发经验者优先考虑；7、有SAP、OA等接口开发经验的优先考虑。","技术栈:

1. ASP.NET
2. C#
3. SQL Server
4. Oracle
5. Mysql
6. HTML
7. JavaScript
8. jQuery
9. Ajax
10. XML
11. DIV
12. CSS"
"岗位职责：1、通过努力学习，获得岗位初级技能，熟悉公司产品架构和管理体系，遵守公司管理制度。2、通过培养期阶段性考核，比如培训考核、实习期考核、转正考核等。3、能积极配合团队管理者和导师开展工作,并完成管理者分配的相关工作事宜。4、向管理人员和技术人员方向培养,收获广阔的职业空间和良好的薪酬回报。任职资格:1、2024年应届毕业生，本科及以上学历,计算机、软件工程、数学与应用数学等相关专业；在校成绩优异。2、熟悉各类编程语言,熟悉编程,熟悉MySQL、SQLsever、.net等软件的使用；3、对信息化平台建设有独特见解，有相关项目经验；4、在校期间有互联网公司实习经验者优先考虑；5、勤恳踏实、吃苦耐劳、团队意识、积极、创新。ps：本岗位招聘稳定的长期工，不接受短期实习。后续往.NET方向发展。需3月到岗且后续不请长假。","技术栈：

1. 编程语言（多种）
2. MySQL
3. SQL Server
4. .NET"
一 工作职责：1.负责系统的需求分析、设计和开发，包括但不限于系统框架设计、业务逻辑设计、数据库设计、接口设计等；2.根据业务需求独立进行系统的设计和实现，并提出改进意见；3.负责系统的测试、优化和维护，确保系统的稳定性和安全性；4.与团队成员、用户、产品经理等部门沟通，了解需求，并协调解决问题；5.处理开发相关的文件和文档，包括但不限于技术文档、设计文档、测试文档等，确保文档的准确性和完整性；6.及时跟进技术领域的发展和变化，积极学习新的技术和工具，提升自身的技术水平和能力。二 工作要求：1.本科及以上学历，计算机相关专业优先；2.至少3年以上.NET开发经验，熟悉SQL Server；3.熟悉前后端开发技术，能够独立完成系统分析和设计；4.熟悉开发标准，能够按照标准进行开发，保证代码质量；5.熟悉版本控制工具 Git 等，具有良好的代码管理和协作能力，能够合理地使用分支、合并和提交等功能；6.具有良好的沟通、协调和团队合作能力；7.有较强的逻辑思维能力和问题解决能力；8.熟悉粤语者优先；9.有领导开发团队经验者优先。,"技术栈：

1. .NET
2. SQL Server
3. Git"
主要职责1、主要负责上位机和桌面软件的界面开发工作；2、负责公司内部使用软件的开发及维护；2、负责与终端设备的串口、TCP和HTTP通讯协议开发；3、负责对需求进行分析，并编写相关开发文档；4、负责相关软件内部测试工作；5、完成其它上级交代的事项任职资格1、统招本科学历，计算机专业，相关岗位2年以上经验；2、熟悉C#、WPF和.net框架；3、能比较清晰准确的分析和设计界面与用户交互逻辑；4、具备较强的学习能力及良好的沟通表达能力。,"技术栈: 

1. C#
2. WPF
3. .NET"
"职位描述：岗位职责(RPA产品开发)： 1、根据产品需求编写代码；2、参与方案讨论和技术调研、负责方案升级、更新；3、协助完成项目的测试、系统使用；4、与项目相关的其他开发工作。岗位要求： 1、熟悉C#、.NET Core、WPF；2、3年以上.Net开发经验,具有windows C# WPF界面开发经验；3、熟悉多进程/多线程编程，熟练使用进程间/线程间的同步和通信方法4、精通编程、调试和相关技术，具有较好的面向对象思想，对常用设计模式有自己的见解；5、211、985高校计算机相关专业优先；6、有跨平台桌面应用开发经验者优先；7、有RPA产品开发经验者优先","技术栈:

1. C#
2. .NET Core
3. WPF
4. 多进程/多线程编程
5. 进程间/线程间同步和通信方法

Note: RPA (Robotic Process Automation) is not a specific technology stack, but rather a category of software, so I didn't include it in the list."
需要掌握的能力：1、python开发；2、数据开发；3、软件页面与交互开发；4、对网络服务有一定了解，对大数据技术栈有一定了解，对CV、GIS、NLP有所了解；5、需要有页面和数据开发的项目经历；6、有从0开始参与软件整体开发流程的人员优先；7、未来可能会从软件开发转向平台开发，有平台开发意向的人员可以优先。,"技术栈: 

1. Python
2. 数据开发相关技术（e.g. 数据库、数据挖掘、数据可视化）
3. 软件页面与交互开发相关技术（e.g. HTML、CSS、JavaScript、React、Angular、Vue）
4. 网络服务相关技术（e.g. TCP/IP、HTTP、RESTful API）
5. 大数据技术栈相关技术（e.g. Hadoop、Spark、Hive）
6. CV（计算机视觉）相关技术（e.g. OpenCV、TensorFlow）
7. GIS（地理信息系统）相关技术（e.g. ArcGIS、GeoPandas）
8. NLP（自然语言处理）相关技术（e.g. NLTK、spaCy）"
岗位要求：1、大专或大专以上学历，计算机、软件工程等相关专业毕业；2、3年 (含3年)以上 软件开发工作经验；3、精通.Net， C#开发，熟练使用Visual Studio 2013等开发工具，熟悉C/S及B/S的多层架构设计及开发，以及javascript/xhtml/css/xml等技术；4、熟悉MS SQL Server等大型数据库，能熟练编写存储过程和触发器，有在大型数据库上进行软件开发的经验；5、熟悉网狐后台开发优先。,"技术栈: 

1. .Net
2. C#
3. Visual Studio 2013
4. JavaScript
5. XHTML
6. CSS
7. XML
8. MS SQL Server"
"工作内容1.在RPA项目实施中，完成RPA的程序开发、测试；2.在开发过程中，确保产品的功能、性能和拓展满足交付条件；3.对已上线的RPA流程进行有效、及时地维护和升级，完成相关技术文档的编写，做好客户沟通与培训；4.完成上级交付的其余合理工作。任职要求：1.本科学历，3年以上软件开发经验,掌握至少一种编程语言，例如 C#、.NET、Python、Java、VB、VBA、SQL等技术；2.具备2-3年RPA项目开发经验，熟悉使用RPA常用工具，如BluePrism，Automation Anywhere或UiPath；3.出色的问题分析和解决能力；4.熟悉软件开发流程和方法；5.中英文沟通表达能力良好；6.抗压能力强，自身职业发展驱动力强，愿意接受出差；7.良好的团队合作精神和自学能力。","技术栈：

1. 至少一种编程语言
2. RPA常用工具（未指定具体工具，但可能包括UiPath、Automation Anywhere、Blue Prism等）"
岗位职责：1.负责项目需求分析，数据库设计，开发等项目全过程管理2.负责核心代码及主要功能模块开发，参与项目的架构和部署，编写项目所需要的相关文档3.与团队成员进行有效沟通，协作完成项目4.有多个大中型项目的运维和开发实施经验，能根据出现的问题快速定位分析原因是并及时进行修复处理岗位要求：1.本科及以上学历，计算机软件相关专业优先2.精通ASP.NET，C#，熟练使用WebService，webapi服务等接口对接开发技术，熟练掌握.NET Framework，熟练使用Visual Studio.NET开发工具，经历过分析，设计，编程，测试等软件开发全过程3.精通sql server，Oracle，mysql等常用型关系型数据库，能熟练独自编写存储过程，触发器，函数并能根据要求做性能优化4.熟悉.NET框架，有较强的逻辑思维能力还可以熟悉三层架构5.熟悉HTML，CSS，HTML5，JQuery，EasyUI6.有较强的学习能力，善于分析思考问题，有规范化，标准化的代码编写习惯和良好的技术文档习惯,"技术栈：

1. ASP.NET
2. C#
3. WebService
4. WebAPI
5. SQL Server
6. Oracle
7. MySQL
8. .NET Framework
9. HTML
10. CSS
11. HTML5
12. JQuery
13. EasyUI"
1、根据项目、产品的开发进度和任务分配，开发符合系统要求的相应软件模块；2、理解基本的业务需求，并根据设计文档、需求说明完成相应模块的开发任务；3、对自己完成的功能，进行功能测试，查出功能存在的缺陷并保证其质量；4、进行软件的一些维护工作；任职要求1.统招本科及以上学历（能力强者可放开学历限制），计算机或软件相关专业。2.3年及以上.NET开发经验，熟练C#语言，熟练常用设计模式；3.熟练.NET Core、EntityFramework Core等框架；4.熟练MySql数据库；5.熟练Linux常见操作命令6.熟练Docker容器常见操作命令7.熟练Kubernetes(k8s)管理容器集群常见操作命令上班时间：8：30-18：00 周末双休。,"技术栈: 

1. .NET
2. C#
3. .NET Core
4. EntityFramework Core
5. MySql
6. Linux
7. Docker
8. Kubernetes (k8s)"
