职位名称,工作地址,学历要求,工作年限要求,招聘人数,薪资待遇,公司行业,公司性质,公司规模,融资阶段,招聘状态,职位类型,岗位描述,公司介绍,公司工商信息,简历详情页地址,更新日期,工作内容,任职资格,技术栈
大数据技术经理,北京昌平区TBD云集中心3号楼10层,本科,5-10年,,20-30K,计算机软件,,500-999人,不需要融资,职位已关闭,全职,：1.负责或配合制定大数据应用解决方案，推进项目落地。2. 负责或配合编制项目实施的概要设计、详细设计等开发规范。3. 负责或参与项目咨询与开发实施工作，并沉淀模块化、可复用的解决方案。4. 从专业的业务角度，对客户需求进行技术方案设计，与客户针对数据价值进行高效沟通与交流。5.技术管理：大数据技术平台规划与架构设计；熟悉国网体系系统建设流程。6.软件开发：系统大规模建设期，负责核心程序的开发；系统运维期，负责系统初中级变更的实现。任职要求：1.计算机、软件工程等相关专业全日制统招本科及以上学历，4年以上大数据开发经验、2年以上团队管理经验；2.熟练使用大数据技术的应用，对大数据有较强的认知和理解；3.熟悉Hadoop开源大数据平台及Spark、Flink、kafka等相关组件，具备优秀的需求分析和设计能力，可独立澄清并确认业务需求，拆解功能，独立或带领团队完成概要设计和功能详细设计；4.具备一定程序设计、架构设计能力，逻辑思维能力强优先考虑，具有较强的分析思维、归纳思维及创新能力，能与业务人员、技术人员及外部合作方进行顺畅沟通，抓住业务重点；5.具有良好的团队合作意识、创新意识、学习能力和沟通技能，强烈的责任心，具备一定的团队领导力。6.有建设大数据架构从0到1经验优先；7.有国家电网项目经历优先；8.能接受出差最佳。,北京尚博信科技有限公司创立于2008年，总部位于北京，在广州、济南、南京、西安设有分公司，拥有CMMI5级、ISO9001、ISO20000、ISO27001等资质，是北京市科委认定的高新技术企业。经过多年发展，秉承“客户第一、激情敬业、持续创新”的经营理念，尚博信已成为中国领先的数字化运营服务提供商，专注于以科技创新赋能大中型企业智慧化转型发展，公司客户遍布石油、石化、电力、零售、免税、银行、保险、房地产等行业。,https://www.zhipin.com/gongsi/3ebdaa0c5d086e981nV_0ty7.html,https://www.zhipin.com/job_detail/bb1b59700e80e9531HB70t69FVpU.html,2024-05-15 01:55:01,"
：
1. 负责或配合制定大数据应用解决方案，推进项目落地。
2. 负责或配合编制项目实施的概要设计、详细设计等开发规范。
3. 负责或参与项目咨询与开发实施工作，并沉淀模块化、可复用的解决方案。
4. 从专业的业务角度，对客户需求进行技术方案设计，与客户针对数据价值进行高效沟通与交流。
5. 技术管理：大数据技术平台规划与架构设计；熟悉国网体系系统建设流程。
6. 软件开发：系统大规模建设期，负责核心程序的开发；系统运维期，负责系统初中级变更的实现。","
任职资格：
1. 计算机或软件工程等相关专业全日制统招本科及以上学历。
2. 4年以上大数据开发经验、2年以上团队管理经验。
3. 熟练使用大数据技术的应用，对大数据有较强的认知和理解。
4. 熟悉Hadoop开源大数据平台及Spark、Flink、kafka等相关组件。
5. 具备优秀的需求分析和设计能力，可独立澄清并确认业务需求，拆解功能，独立或带领团队完成概要设计和功能详细设计。
6. 具备一定程序设计、架构设计能力，逻辑思维能力强。
7. 具有良好的团队合作意识、创新意识、学习能力和沟通技能。
8. 具备强烈的责任心，具备一定的团队领导力。
9. 有建设大数据架构从0到1经验优先。
10. 有国家电网项目经历优先。
11. 能接受出差。","

1. 大数据开发
2. 团队管理
3. Hadoop开源大数据平台
4. Spark
5. Flink
6. Kafka
7. 需求分析和设计
8. 程序设计
9. 架构设计
10. 逻辑思维
11. 团队合作
12. 创新
13. 学习能力
14. 沟通技能
15. 责任心
16. 团队领导力
17. 建设大数据架构经验
18. 国家电网项目经验
19. 出差能力"
推荐系统java研发工程师,北京朝阳区北辰世纪中心A座10层,本科,5-10年,,20-40K·14薪,电子商务,,10000人以上,已上市,招聘中,全职,京东的推荐团队，承接京东商城全流量的个性化与推荐业务，拥有一支世界级水平并高速发展的工程师／科学家团队。现有团队多来自清华、北大、中科院等海内外名校，曾就职于雅虎、百度等一流技术公司。工程团队成员曾主导业界主流推荐系统的架构、开发，技术实力雄厚。团队气氛活跃，经常有内部技术分享和讨论，还会不定期邀请外部教授专家前来分享，内容包括架构、算法、科研等多个方面，使大家在工作的同时也能够提升自己的能力。推荐系统研发工程师： 1. 负责京东商城个性化推荐的系统设计、开发；2. 集成算法模型，建立特征数据计算同步管道，实现点对点的推荐调用接口；3. 实时数据处理，在线算法实现等；4. 推荐系统相关的特征、报表计算，数据分析等；职位要求： 1. 对数据结构和算法设计有较为深刻的理解 2. 熟悉java/c++等开发语言，至少精通其中一种2. 熟悉大规模高并发处理、分布式存储等互联网后端开发技术 3. 熟悉Hive/Hadoop/pig等大数据分析工具 4. 熟悉Shell/Python等脚本语言，善于分析日志，对数据有敏锐的洞察力 5. 良好的团队合作精神，较强的沟通能力；主动性强，有很强的自我驱动力 6. 有推荐，搜索或者广告相关工程实践经验优先7. 有大数据处理经验者优先8. 有流式计算工作经验者优先 以上说了这么多我们需要的”你”的职能职责，下面来说说我们所能提供给”你”的1. 工作地点，紧邻鸟巢水立方，每天都在旅游景区工作。周围商场、绿地环绕，外出就餐或订餐都选择众多，远离西二旗，远离著名堵点2. 领导十分以及特别nice，团队氛围很好3. 我司给员工的福利也是大大的商保，年假 双休不用多说。每天19点以后可在单位附近指定多家商户享用免费晚餐，21点以后可使用公司软件免费打车回家4. 行政，IT相关问题有专门服务热线为你分忧解难，免除你所有工作以外的后顾之忧,京东于2004年正式涉足电商领域，2018年，京东集团市场交易额接近1.7万亿元*。2019年7月，京东第四次入榜《财富》全球500强，位列第139位，在全球仅次于亚马逊和Alphabet，位列互联网企业第三。2014年5月，京东集团在美国纳斯达克证券交易所正式挂牌上市，是中国第一个成功赴美上市的大型综合型电商平台。2015年7月，京东凭借高成长性入选纳斯达克100指数和纳斯达克100平均加权指数。,https://www.zhipin.com/gongsi/33e052361693f8371nF-3d25.html,https://www.zhipin.com/job_detail/e7b80ea1f7fcacf233B63dq8FVA~.html,2024-05-15 02:52:11,"
：
1. 负责京东商城个性化推荐的系统设计、开发；
2. 集成算法模型，建立特征数据计算同步管道，实现点对点的推荐调用接口；
3. 实时数据处理，在线算法实现等；
4. 推荐系统相关的特征、报表计算，数据分析等。","
任职资格：
1. 对数据结构和算法设计有较为深刻的理解
2. 熟悉java/c++等开发语言，至少精通其中一种
3. 熟悉大规模高并发处理、分布式存储等互联网后端开发技术
4. 熟悉Hive/Hadoop/pig等大数据分析工具
5. 熟悉Shell/Python等脚本语言，善于分析日志，对数据有敏锐的洞察力
6. 良好的团队合作精神，较强的沟通能力；主动性强，有很强的自我驱动力
7. 有推荐，搜索或者广告相关工程实践经验优先
8. 有大数据处理经验者优先
9. 有流式计算工作经验者优先","

1. 数据结构和算法设计
2. Java/C++开发语言
3. 大规模高并发处理
4. 分布式存储
5. Hive/Hadoop/Pig大数据分析工具
6. Shell/Python脚本语言
7. 推荐系统、搜索引擎或广告相关工程实践经验
8. 大数据处理经验
9. 流式计算工作经验"
大数据开发工程师（商业化方向）,上海长宁区金虹桥国际中心,本科,3-5年,,30-60K·14薪,互联网,,1000-9999人,已上市,招聘中,全职,1、负责广告部大规模机器学习离线样本数据流的开发和维护，提高离线特征抽取计算的复用性；2、负责广告部大规模机器学习离线特征的存储组件选型和开发，避免特征数据重复存储，提高存储效率；3、负责广告部大规模机器学习离线数据流平台的开发和维护，提高算法离线特征调研迭代效率；4、构建机器学习数据质量体系，持续提升数据质量和及时发现数据问题；5、跟踪和调研前沿的数据处理和分析、存储技术，不断提升计算和存储效率；任职要求：1、对数据处理相关技术如hadoop、spark、flink等有一定的了解2、对Java、Python有一定的理解；3、对hbase等列式存储系统有实际使用经验；4、有机器学习、大型电商系统、互联网广告、数据挖掘、流计算相关经验者优先。,拼多多于2018年7月26日正式登陆纳斯达克全球精选板块，股票代码：PDD。拼多多是中国新电商模式的开创者，目前拥有超过3.44亿的活跃买家和超过170万活跃商家。在以人为先的理念下，拼多多融合物质消费与精神消费，用户可以通过拼单，与好友分享买到便宜好货的快乐。同时，拼多多还构建了分布式AI智能代理网络，将商品与消费者进行匹配，帮助海量订单精准触达制造工厂，在C2M模式下为消费者创造“便宜有好货”的价值。拼多多目前拥有五千多名员工，平均年龄仅26岁，其中70%毕业于世界知名高校，大量工程师曾服务于谷歌、微软等一流互联网公司。拼多多恪守本分价值观，致力于构建一个独立的公众机构，满足最广大用户的消费需求。我们永不放弃做正确的事，永不放弃为最广大人民群众创造价值。,https://www.zhipin.com/gongsi/ea9c5680f57d53d71HV90ty5.html,https://www.zhipin.com/job_detail/2914a6b350f6e0d30HB70tm6Elc~.html,2024-05-15 03:05:51,"
：
1. 开发和维护广告部大规模机器学习离线样本数据流，提升离线特征抽取计算的复用性；
2. 选型和开发广告部大规模机器学习离线特征的存储组件，避免特征数据重复存储，提高存储效率；
3. 开发和维护广告部大规模机器学习离线数据流平台，提升算法离线特征调研迭代效率；
4. 构建机器学习数据质量体系，持续提升数据质量和及时发现数据问题；
5. 跟踪和调研前沿的数据处理和分析、存储技术，不断提升计算和存储效率。","
任职资格：
1. 熟悉数据处理相关技术，如Hadoop、Spark、Flink等。
2. 掌握Java、Python等编程语言。
3. 具有实际使用HBase等列式存储系统的经验。
4. 具有机器学习、大型电商系统、互联网广告、数据挖掘、流计算相关经验者优先。","

1. Hadoop
2. Spark
3. Flink
4. Java
5. Python
6. HBase
7. 机器学习
8. 大型电商系统
9. 互联网广告
10. 数据挖掘
11. 流计算"
大数据平台架构师,上海闵行区中骏广场1期3号楼9楼,本科,5-10年,,30-60K·16薪,新零售,,10000人以上,已上市,招聘中,全职,"-职责描述：-负责大数据平台技术框架的选型与技术难点攻关-负责规划数据挖掘的整体流程，负责大数据开发团队业务需求开发-与业务部门密切配合，寻求数据层面的业务价值，利用数据分析结论推动产品优化- 负责新技术的调研，并能在团队内进行推广应用- 负责公司大数据底层框架的整体架构设计，结合公司实际业务情况进行技术选型及大数据战略规划；--任职要求：-计算机、数学相关专业，本科以上学历；5年以上开发经验，其中3年以上大数据架构或相关工作经验；有大型零售大数据、电商平台系统设计和架构经验hadoop平台开发经验-熟悉Hadoop生态圈其他系统，包括Hive，Pig，HBase，Spark，Kafka，Oozie，Sqoop，Flume，ZooKeeper, Strom,FLink,并了解其原理-具备大型复杂Hadoop数据平台的建设实施经验-精通Java及Python,有架构设计能力和良好的编码习惯-能够承受一定工作压力，有团队合作精神",永辉超市成立于2001年， 2010年在A股上市，股票代码 601933.SH，是中国首批“农改超”推广典范、中国企业500强之一，是国家级“流通”及“农业产业化”双龙头企业。永辉超市秉承“民生超市、百姓永辉”的理念，自创办以来飞速发展。截至9月中旬，永辉超市业务已覆盖全国29个省份，554个城市，经营面积超过750万平方米。,https://www.zhipin.com/gongsi/d07708383de63c701nN63Nq9EA~~.html,https://www.zhipin.com/job_detail/9843927e9ab4e99503By09W8F1Q~.html,2024-05-15 03:23:35,"
：
1. 负责大数据平台技术框架的选型与技术难点攻关。
2. 规划数据挖掘的整体流程，负责大数据开发团队业务需求开发。
3. 与业务部门密切配合，寻求数据层面的业务价值，利用数据分析结论推动产品优化。
4. 负责新技术的调研，并能在团队内进行推广应用。
5. 负责公司大数据底层框架的整体架构设计，结合公司实际业务情况进行技术选型及大数据战略规划。","
任职资格：
1. 计算机或数学相关专业，本科以上学历。
2. 5年以上开发经验，其中3年以上大数据架构或相关工作经验。
3. 有大型零售大数据、电商平台系统设计和架构经验。
4. 熟悉Hadoop生态圈其他系统，包括Hive，Pig，HBase，Spark，Kafka，Oozie，Sqoop，Flume，ZooKeeper, Strom,FLink，并了解其原理。
5. 具备大型复杂Hadoop数据平台的建设实施经验。
6. 精通Java及Python，有架构设计能力和良好的编码习惯。
7. 能够承受一定工作压力，有团队合作精神。","

1. Java
2. Python
3. Hadoop
4. Hive
5. Pig
6. HBase
7. Spark
8. Kafka
9. Oozie
10. Sqoop
11. Flume
12. ZooKeeper
13. Storm
14. Flink"
Hadoop开发工程师,北京朝阳区达美中心,本科,3-5年,,26-30K,银行,,10000人以上,已上市,招聘中,全职,：1.搭建基于Hadoop/HBASE/SPARK的大数据平台；2.管理Hadoop/SPARK集群运行，稳定提供平台服务；3.解决Hadoop/SPARK开发中技术难点。4.解决实时计算相关问题，并根据业务场景设计实时计算流程架构并开发相关计算逻辑。任职资格:1.3年以上Hadoop及大数据生态圈实践经验，如Kafka/HBase/Impala/YARN/Spark等，且对于spark streaming、storm等实时计算框架熟悉2.深入了解分布式系统、大数据平台等高可用高弹性架构3.有数据仓库项目经验，了解数据仓库相关理论知识；4.有ETL工具、Kettle的项目使用经验。5.熟悉Linux系统，具备shell、python等脚本开发能力 6.强烈的责任心和自我驱动意识，具备独立解决问题的能力7.良好的团队合作精神和沟通能力,"中信银行成立于1987年，是中国改革开放中最早成立的新兴商业银行之一，是中国最早参与国内外金融市场融资的商业银行，并以屡创中国现代金融史上多个第一而蜚声海内外，为中国经济建设做出了积极的贡献。2007年4月，中信银行实现在上海证券交易所和香港联交所“A+H”同步上市；2009年，中信银行成功收购中信国际金融控股有限公司，控股中信银行（国际）有限公司。2015年4月，中信银行英国伦敦代表处开业；7月，中信银行悉尼代表处进入筹备阶段，标志着中信银行新一轮国际化战略正式启动。2015年6月，中信银行入股台湾中国信托金融控股股份有限公司，成为大陆首家赴台投资的股份制商业银行。目前,中信银行总资产超4万亿元人民币，在2015年7月英国《银行家》杂志公布的“世界1000家银行排名”中，中信银行位列一级资本排名第33位，总资产排名第46位；同年5月《福布斯》公布的“全球企业2000强”排名中，中信银行位居第94名，已成为一家资本实力雄厚，具有强大综合竞争力和品牌影响力的国际化金融机构。在经济新常态和金融市场化的时代背景下，中信银行以“最佳综合融资服务银行”为发展愿景，充分发挥中信集团金融与实业并举的独特竞争优势，全力打造综合化服务平台，提升中信银行核心竞争力的独特优势。中信银行坚持以客户为中心的经营理念，向企业和机构客户提供公司银行业务、国际业务、金融市场业务、机构业务、投资银行业务、保理业务、托管业务等综合金融解决方案；向个人客户提供一般零售银行、信用卡、消费金融、财富管理、私人银行、出国金融、电子银行等多元化金融产品及服务。全方位满足企业及个人客户的综合金融服务需求。",https://www.zhipin.com/gongsi/8270c3305c3bd8981nB629q9Fg~~.html,https://www.zhipin.com/job_detail/9895d45609e108e80Hd83dW7FFo~.html,2024-05-15 02:51:49,"
：
1. 搭建基于Hadoop/HBASE/SPARK的大数据平台；
2. 管理Hadoop/SPARK集群运行，稳定提供平台服务；
3. 解决Hadoop/SPARK开发中技术难点；
4. 解决实时计算相关问题，并根据业务场景设计实时计算流程架构并开发相关计算逻辑。","
任职资格：
1. 3年以上Hadoop及大数据生态圈实践经验，如Kafka/HBase/Impala/YARN/Spark等，且对于spark streaming、storm等实时计算框架熟悉。
2. 深入了解分布式系统、大数据平台等高可用高弹性架构。
3. 有数据仓库项目经验，了解数据仓库相关理论知识。
4. 有ETL工具、Kettle的项目使用经验。
5. 熟悉Linux系统，具备shell、python等脚本开发能力。
6. 强烈的责任心和自我驱动意识，具备独立解决问题的能力。
7. 良好的团队合作精神和沟通能力。","

1. Hadoop
2. Kafka
3. HBase
4. Impala
5. YARN
6. Spark
7. Spark Streaming
8. Storm
9. 分布式系统
10. 大数据平台
11. 数据仓库
12. ETL工具
13. Kettle
14. Linux系统
15. Shell脚本
16. Python脚本"
Hadoop,北京东城区北京电信大楼北区,本科,3-5年,,20-40K·13薪,通信/网络设备,,10000人以上,已上市,招聘中,全职,：1、负责集团级实时/离线/调度等数据计算平台建设；2、负责集团级公共基础数据流、公共平台的研发；3、参与海量数据处理和高性能分布式计算的架构设计，负责数据处理流程的设计和代码开发，撰写相关文档；4、设计及研发PaaS平台的关键组件；5、负责研发资源调度框架、数据库、缓存、存储、检索等相关中间件的二次开发优化工作；招聘需求：1、统招二本或以上学历，计算机相关专业，3年以上相关工作经验，spark/hadoop全栈优先，精通任意一栈者也可；2、使用hadoop及hadoop生态圈中的常用组件，如Spark、Hive、zookeeper、Redis、Spark、Yarn等全部或者部分组件，精通其中1-2个，熟悉分布式编程；3、熟练掌握java 或scala语言，熟悉并行计算或者分布式计算，理解MapReduce、HDFS原理、spark RDD/DataFrame原理；4、拥有实际的Hadoop/spark的项目经验，具有相关系统的调优、运维、开发经验。5、具有云计算、DevOps、IaaS、PaaS等相关领域研发经验优先,中国电信济南市槐荫区分公司,https://www.zhipin.com/gongsi/e85587c172ae1c9c3nFy3dw~.html,https://www.zhipin.com/job_detail/86e0a66093b88a901XZ_3d69FlBW.html,2024-05-15 02:32:06,"
：
1. 负责集团级实时/离线/调度等数据计算平台建设；
2. 负责集团级公共基础数据流、公共平台的研发；
3. 参与海量数据处理和高性能分布式计算的架构设计，负责数据处理流程的设计和代码开发，撰写相关文档；
4. 设计及研发PaaS平台的关键组件；
5. 负责研发资源调度框架、数据库、缓存、存储、检索等相关中间件的二次开发优化工作。","
任职资格：
1. 统招二本或以上学历，计算机相关专业，3年以上相关工作经验。
2. 精通Spark/Hadoop全栈，或精通任意一栈。
3. 使用hadoop及hadoop生态圈中的常用组件，如Spark、Hive、zookeeper、Redis、Spark、Yarn等全部或者部分组件，精通其中1-2个，熟悉分布式编程。
4. 熟练掌握java 或scala语言，熟悉并行计算或者分布式计算，理解MapReduce、HDFS原理、spark RDD/DataFrame原理。
5. 拥有实际的Hadoop/spark的项目经验，具有相关系统的调优、运维、开发经验。
6. 具有云计算、DevOps、IaaS、PaaS等相关领域研发经验优先。","

1. Java 或 Scala 语言
2. Hadoop 全栈或 Spark 全栈
3. Hadoop 生态圈组件：Spark、Hive、Zookeeper、Redis、Yarn
4. 分布式编程
5. MapReduce、HDFS、Spark RDD/DataFrame 原理
6. 云计算、DevOps、IaaS、PaaS 相关领域研发经验"
python,北京海淀区地铁西二旗站1,本科,3-5年,,12-16K,计算机软件,,10000人以上,B轮,招聘中,全职,需要根据社保年限评级1. 精通Python，熟练掌握相关开发技术，熟悉Linux平台。2.有python后端开发能力和经验，想转数据挖掘，有金融行业项目经验3. 熟练使用数据库，掌握Oracle、MySQL、Mongodb等数据库。4. 对云计算和大数据等技术方向感兴趣，有银行业相关经验更佳。5. 拥有良好的沟通能力和团队合作精神6、 了解H5、JS、CSS等前端技术，了解Ajax+JSON前后端交互技术。学历要求：学信统本，硕士优先工作地点：目前在石景山，后面去西二旗,中电金信，是中国电子旗下成员企业，通过持续研发创新，参与国家重大工程，依托行业场景，打造全栈全域解决方案，提供领先的咨询、软件产品及开发、质量安全保障及运营服务，为金融及重点行业数字化转型及安全发展提供强大动能，并以中国数字化转型最佳实践服务全球。我们推崇开放包容的文化。在中电金信，你将和同样拥有热情和梦想的优秀队友一起合作、交流和学习，稳扎稳打不断提升，和团队一起助力国家重大工程项目。我们为你提供清晰的职业路径和不设限的发展机会，你将通过不同类型的项目不断成长，获得前所未有的荣耀感和使命感，和我们一起去创造数字时代的美好未来。,https://www.zhipin.com/gongsi/9e1bceeac44be7361nd80tq6E1U~.html,https://www.zhipin.com/job_detail/dd5ef5d68c3a7cd91XF53dm0EFtW.html,2024-05-15 04:59:13,"
：
1. 精通Python，熟练掌握相关开发技术，熟悉Linux平台。
2. 具备Python后端开发能力和经验，有意向转向数据挖掘领域，并拥有金融行业项目经验。
3. 熟练使用数据库，掌握Oracle、MySQL、MongoDB等数据库。
4. 对云计算和大数据等技术方向感兴趣，有银行业相关经验更佳。
5. 拥有良好的沟通能力和团队合作精神。
6. 了解H5、JS、CSS等前端技术，了解Ajax+JSON前后端交互技术。","
任职资格：
1. 精通Python，熟练掌握相关开发技术，熟悉Linux平台。
2. 有Python后端开发能力和经验，想转数据挖掘，有金融行业项目经验。
3. 熟练使用数据库，掌握Oracle、MySQL、MongoDB等数据库。
4. 对云计算和大数据等技术方向感兴趣，有银行业相关经验更佳。
5. 拥有良好的沟通能力和团队合作精神。
6. 了解H5、JS、CSS等前端技术，了解Ajax+JSON前后端交互技术。
学历要求：学信统本，硕士优先。
工作地点：目前在石景山，后面去西二旗。","

1. Python
2. Linux
3. Oracle
4. MySQL
5. MongoDB
6. 云计算
7. 大数据
8. H5
9. JavaScript (JS)
10. CSS
11. Ajax
12. JSON"
大数据开发工程师,北京海淀区量子芯座2105,本科,3-5年,,30-60K·15薪,计算机服务,,100-499人,,招聘中,全职,1、熟悉大数据相关技术：Kafka/Flink/Hadoop/Druid/HBase/Hive 等；2、熟练使用 Java、Go、Python语言中的一种或者多种；3、具备数据库系统理论知识，掌握主流数据库管理和应用，精通SQL；4、了解统计以及数据挖掘、机器学习、人工智能技术，会使用关联分析、分类预测、聚类分析等常用分析方法；5、三年以上大数据开发经验，有高性能分布式平台开发经验，有相关行业经验优先。,,https://www.zhipin.com/gongsi/08fb227bf51d9a911XF929m1E1U~.html,https://www.zhipin.com/job_detail/6e30660827b1b2e01XN50tS7EFJZ.html,2024-05-15 02:28:43,"
：
1. 熟悉大数据相关技术，包括但不限于Kafka、Flink、Hadoop、Druid、HBase、Hive等；
2. 熟练使用Java、Go、Python语言中的一种或多种；
3. 具备数据库系统理论知识，掌握主流数据库管理和应用，精通SQL；
4. 了解统计以及数据挖掘、机器学习、人工智能技术，会使用关联分析、分类预测、聚类分析等常用分析方法；
5. 具备三年以上大数据开发经验，有高性能分布式平台开发经验，有相关行业经验优先。","
任职资格：
1. 熟悉大数据相关技术：Kafka/Flink/Hadoop/Druid/HBase/Hive 等；
2. 熟练使用 Java、Go、Python语言中的一种或者多种；
3. 具备数据库系统理论知识，掌握主流数据库管理和应用，精通SQL；
4. 了解统计以及数据挖掘、机器学习、人工智能技术，会使用关联分析、分类预测、聚类分析等常用分析方法；
5. 三年以上大数据开发经验，有高性能分布式平台开发经验，有相关行业经验优先。","

1. 大数据技术: Kafka, Flink, Hadoop, Druid, HBase, Hive
2. 编程语言: Java, Go, Python
3. 数据库系统: 理论知识, 主流数据库管理和应用, SQL
4. 统计和数据挖掘: 关联分析, 分类预测, 聚类分析
5. 经验: 三年以上大数据开发经验, 高性能分布式平台开发经验, 相关行业经验"
Hadoop SRE工程师,上海虹口区华虹国际大厦华虹大厦5楼,本科,3-5年,,25-35K,互联网,,500-999人,不需要融资,招聘中,全职,"职责1. 负责Hadoop/HDFS/Yarn/Hive/HBase等组件的运维保障；2. 负责大数据平台自动化运维以及数据化运营平台开发工作；3. 深入理解大数据平台架构，发现并解决重大故障及性能瓶颈，提供解决方案；4. 负责大数据平台系统的架构审核、业务监控、持续交付、应急响应、容量规划等要求1. 具有100台+大数据集群运维经验，Apache、CDH、HDP集群部署维护，JVM性能优化；2. 深入理解 HDFS/Yarn/Hive/HBase等组件原理, 管理过大规模 Hadoop 集群并有实际优化经历优先；3. 熟悉批量工具ansible及prometheus监控;4. 熟练Linux操作系统，熟悉Shell脚本编程",天翼电子商务有限公司（以下简称“甜橙金融”）成立于2011年3月，是中国电信股份有限公司的全资子公司、中国人民银行核准的第三方支付机构、中国证监会核准的基金支付结算机构，是中国电信布局互联网金融的重要板块，是行业领先的创新型金融科技企业。甜橙金融旗下拥有翼支付、橙分期、甜橙保险、甜橙信用、甜橙保理等业务，秉承“客户至上、诚信、担当、创新、共赢”的价值观，让客户尽情享受安全便捷的金融新生活。,https://www.zhipin.com/gongsi/053d480e6607ab2f1nB_2d4~.html,https://www.zhipin.com/job_detail/6a3cabb9eb836a9d1Xd70tS7GFtS.html,2024-05-15 03:08:51,"
：
1. 负责Hadoop/HDFS/Yarn/Hive/HBase等组件的运维保障；
2. 负责大数据平台自动化运维以及数据化运营平台开发工作；
3. 深入理解大数据平台架构，发现并解决重大故障及性能瓶颈，提供解决方案；
4. 负责大数据平台系统的架构审核、业务监控、持续交付、应急响应、容量规划等。","
任职资格：
1. 具有100台+大数据集群运维经验，Apache、CDH、HDP集群部署维护，JVM性能优化；
2. 深入理解 HDFS/Yarn/Hive/HBase等组件原理, 管理过大规模 Hadoop 集群并有实际优化经历优先；
3. 熟悉批量工具ansible及prometheus监控；
4. 熟练Linux操作系统，熟悉Shell脚本编程。","

1. 大数据集群运维
2. Apache、CDH、HDP集群部署维护
3. JVM性能优化
4. HDFS/Yarn/Hive/HBase等组件原理
5. 批量工具ansible
6. Prometheus监控
7. Linux操作系统
8. Shell脚本编程"
大数据研发工程师,北京大兴区京东总部4号楼4号楼3层B3区,硕士,3-5年,,25-35K·15薪,电子商务,,10000人以上,已上市,招聘中,全职,【京东】 京东工业品-大数据开发工程师工作地点: 北京市亦庄区经济技术开发区京东大厦4号楼职位要求:基于大数据技术对京东工业的商品数据、标品数据进行接入、转换、加工、校验、匹配等工作，并实现数据处理全流程工具化，线上化，自动化。技术要求:1、熟练使用 python ，并了解常用数据处理工具如 pandas、numpy 等2、熟练使用spark，并了解Hadoop生态体系下的其它相关技术，如hdfs、hive、hbase、yarn等3、熟悉 python 爬虫技术4、了解 elasticsearch，redis，kafka 等常用非关系型数据库和消息中间件技术其他要求:喜欢编程，做事有韧劲，有团队精神团队介绍:京东工业品作为京东集团旗下独立子公司，业务的发展突飞猛进。工业品不同于其它品类，对于商品属性的描述要非常的精确且完整，通过收集，加工，对比，校验等一系列手段来提升数据的质量，以更好的满足B端客户的购买需求，而这也是京东工业品的业务基础。我们团队正是肩负着这样的使命，借助于大数据及人工智能技术不断提升工业品标品的数量及质量。团队氛围开放，处事简单，创业型团队，希望您的加入。,京东于2004年正式涉足电商领域，2018年，京东集团市场交易额接近1.7万亿元*。2019年7月，京东第四次入榜《财富》全球500强，位列第139位，在全球仅次于亚马逊和Alphabet，位列互联网企业第三。2014年5月，京东集团在美国纳斯达克证券交易所正式挂牌上市，是中国第一个成功赴美上市的大型综合型电商平台。2015年7月，京东凭借高成长性入选纳斯达克100指数和纳斯达克100平均加权指数。,https://www.zhipin.com/gongsi/33e052361693f8371nF-3d25.html,https://www.zhipin.com/job_detail/283d3c5a5e6bca401nd-3tm7ElY~.html,2024-05-15 02:55:13,"
：
1. 基于大数据技术对京东工业的商品数据、标品数据进行接入、转换、加工、校验、匹配等工作。
2. 实现数据处理全流程工具化、线上化、自动化。
3. 熟练使用 Python，并了解常用数据处理工具如 pandas、numpy 等。
4. 熟练使用 Spark，并了解 Hadoop 生态体系下的其它相关技术，如 HDFS、Hive、HBase、YARN 等。
5. 熟悉 Python 爬虫技术。
6. 了解 Elasticsearch、Redis、Kafka 等常用非关系型数据库和消息中间件技术。","
任职资格：
1. 熟练使用 Python，并了解常用数据处理工具如 pandas、numpy 等。
2. 熟练使用 Spark，并了解 Hadoop 生态体系下的其它相关技术，如 HDFS、Hive、HBase、YARN 等。
3. 熟悉 Python 爬虫技术。
4. 了解 Elasticsearch、Redis、Kafka 等常用非关系型数据库和消息中间件技术。","

1. Python
2. Pandas
3. Numpy
4. Spark
5. Hadoop
6. HDFS
7. Hive
8. HBase
9. YARN
10. Python 爬虫技术
11. Elasticsearch
12. Redis
13. Kafka"
